"ID","Operator","Short name","Contact email for complaints (this is the most important data to collect!)","Status","Company Number","Company's Registered Postal Address","Notes/Observations of Interest","URL","Number of Routes we think this operator runs (for sorting)","Non-functional URL - has list of routes"
2179,"GLOUCESTER LIMOS AND MIN","GLOUCESTER LIMOS AND MIN",,,,,,,13,"http://transport.mysociety.org/operators/2179"
2192,"Glovers Coaches Ltd.","Glovers Coaches Ltd.",,,,,,,14,"http://transport.mysociety.org/operators/2192"
2913,"GM Coaches","GM Coaches",,,,,"http://www.gmcoaches.com",,1,"http://transport.mysociety.org/operators/2913"
3618,"GO GOODWINS","GO Goodwins",,,,,,,6,"http://transport.mysociety.org/operators/3618"
3631,"Go North East","Go North East","customerservices@gonortheast.co.uk",,2057284,"GO NORTH EAST LIMITED
3RD FLOOR 41-51 GREY STREET 
NEWCASTLE UPON TYNE 
NE1 6EE ",,,376,"http://transport.mysociety.org/operators/3631"
3551,"Go Whittle , WhittleBus","R.A. & D.L. WHITTLE",,,,,,,13,"http://transport.mysociety.org/operators/3551"
2725,"Godson's Coaches","Godson's Coaches",,,,,,,2,"http://transport.mysociety.org/operators/2725"
3199,"Golden Boy Coaches","Golden Boy Coaches",,,,,,,10,"http://transport.mysociety.org/operators/3199"
2115,"Golden Line Buses Ltd","Golden Line Buses Ltd",,,,,,,3,"http://transport.mysociety.org/operators/2115"
2019,"Goode Coaches","Goode Coaches",,,,,"No email address found",,1,"http://transport.mysociety.org/operators/2019"
3095,"Goodsir","Goodsir",,,,,,,5,"http://transport.mysociety.org/operators/3095"
3350,"Gordons Coaches","Gordons Coaches",,,,,"No email address found. Try 01709 363913 ",,1,"http://transport.mysociety.org/operators/3350"
1976,"Gorran & District Community Bus Association Ltd","GORRAN & DISTRICT COMMUN","gorranbus@freeuk.com",,,,,"http://www.gorranbus.freeuk.com/index.html",3,"http://transport.mysociety.org/operators/1976"
1932,"GOSPORT FERRY LTD","GOSPORT FERRY LTD","info@gosportferry.co.uk",,,,"http://www.gosportferry.co.uk/",,1,"http://transport.mysociety.org/operators/1932"
2309,"Graham Minibus","Graham Minibus","contact@grahamstaxis.com",,,,,,1,"http://transport.mysociety.org/operators/2309"
3204,"Grahams Coaches","Grahams Coaches","info@grahamscoaches.ltd.uk",,,,"http://www.grahamscoaches.com/",,1,"http://transport.mysociety.org/operators/3204"
1971,"Grand Central","Grand Central","customer.services@grandcentralrail.com",,,,"http://www.grandcentralrail.co.uk",,1,"http://transport.mysociety.org/operators/1971"
3031,"Grand Prix","Grand Prix",,,,,,,5,"http://transport.mysociety.org/operators/3031"
3209,"Grant Palmer","Grant Palmer",,,7183222,,"Company number might be 7183213",,13,"http://transport.mysociety.org/operators/3209"
2023,"Grant Palmer","GP",,,,,,,7,"http://transport.mysociety.org/operators/2023"
3215,"Grayline Coaches","Grayline Coaches",,,,,,,13,"http://transport.mysociety.org/operators/3215"
2369,"Grayscroft Coaches","Grayscroft Coaches",,,,,,,12,"http://transport.mysociety.org/operators/2369"
3607,"GREATER M/CR BUSES SOUTH LTD","Stagecoach Manchester","manchester.enquiries@stagecoachbus.com",,,,,,99,"http://transport.mysociety.org/operators/3607"
3465,"GREATER MANCHESTER METRO LTD","Metrolink",,,,,,,2,"http://transport.mysociety.org/operators/3465"
3625,"GREEN TRIANGLE BUSES LTD","South Lancs Travel",,,,,,,24,"http://transport.mysociety.org/operators/3625"
2261,"Grenitote Travel","Grenitote Travel",,,,,,,3,"http://transport.mysociety.org/operators/2261"
3491,"Griffin Bus","Griffin Bus",,,,,,,11,"http://transport.mysociety.org/operators/3491"
2895,"Guildford Link (op by Arriva Surrey & West Susse","Guildford Link (op by Ar",,,,,,,3,"http://transport.mysociety.org/operators/2895"
3530,"Gwyn Williams","Gwyn Williams",,,,,,,3,"http://transport.mysociety.org/operators/3530"
2501,"H & H Coaches","H & H Coaches",,,,"Broadmeadows, Ashburton Industrial Estate, Ross-On-Wye, Herefordshire, HR9 7BW","No apparent Email address.",,5,"http://transport.mysociety.org/operators/2501"
3555,"H.D.A. Coaches","H.D.A. Coaches",,,,,,,6,"http://transport.mysociety.org/operators/3555"
2074,"Hackney Community Transport","HCT",,,,,,,8,"http://transport.mysociety.org/operators/2074"
2000,"Hadleigh Community Transport","Hadleigh Community Trans",,,,,,,2,"http://transport.mysociety.org/operators/2000"
2717,"Haines Coaches","Haines Coaches",,,,,,,4,"http://transport.mysociety.org/operators/2717"
2445,"Halesworth Area Community T'pt","Halesworth Area Communit","office@hactbus.co.uk",,,,"http://www.hactbus.co.uk/",,1,"http://transport.mysociety.org/operators/2445"
2700,"Halifax Bus Company","Halifax Bus Company",,,,,,,11,"http://transport.mysociety.org/operators/2700"
2165,"Halifax Joint Committee","Halifax Joint Committee",,,,,,,8,"http://transport.mysociety.org/operators/2165"
2245,"Halton Borough Transport","Halton Borough Transport",,,,,,,2,"http://transport.mysociety.org/operators/2245"
2182,"Halton Community Transport","Halton Community","enquiries@haltoncommunitytransport.co.uk",,,,"http://www.haltoncommunitytransport.co.uk/",,1,"http://transport.mysociety.org/operators/2182"
2655,"HALTON COMMUNITY TRANSPORT","Halton Community Transpo","enquiries@haltoncommunitytransport.co.uk",,,,,,1,"http://transport.mysociety.org/operators/2655"
3686,"HALTON TRANSPORT","Halton Transport","enquiries@haltontransport.co.uk",,,,,,2,"http://transport.mysociety.org/operators/3686"
2648,"Halton Transport","Halton Transport",,,,,,,1,"http://transport.mysociety.org/operators/2648"
1782,"Halton Traveller","Halton Traveller",,,,,,,4,"http://transport.mysociety.org/operators/1782"
2668,"Halton Traveller","Halton Traveller",,,,,,,1,"http://transport.mysociety.org/operators/2668"
2731,"Hamilton Coaches","Hamilton Coaches",,,,,,,1,"http://transport.mysociety.org/operators/2731"
2350,"Hamiltons & Buckbys Coaches","Hamiltons & Buckbys Coac",,,,,,,4,"http://transport.mysociety.org/operators/2350"
3516,"Hamish Gordon","Hamish Gordon",,,,,,,2,"http://transport.mysociety.org/operators/3516"
3823,"Hampshire Bus","STAGECOACH IN HAMPSHIRE","enquiries.south@stagecoachbus.com",,,,,,112,"http://transport.mysociety.org/operators/3823"
3473,"Hams Travel","Hams Travel",,,,,,,4,"http://transport.mysociety.org/operators/3473"
2669,"Handcross District Community Bus","Handcross District Commu",,,,,,,3,"http://transport.mysociety.org/operators/2669"
2734,"Hanson                                         *","HANSONS (WORDSLEY) LTD.,",,,,,,,15,"http://transport.mysociety.org/operators/2734"
3506,"Harington's Coaches","Harington's Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3506"
3843,"Harkers Coaches","Harkers Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3843"
3806,"Harlequin Coaches","Harlequin Coaches",,,,,,,12,"http://transport.mysociety.org/operators/3806"
2187,"Harris","Harris",,,,,,,12,"http://transport.mysociety.org/operators/2187"
2040,"Harrisons Coaches Morecambe","Harrisons Coaches Moreca",,,,,,,1,"http://transport.mysociety.org/operators/2040"
3828,"Harrogate & District CT (Little Red Bus)","Harrogate & District CT",,,,,,,10,"http://transport.mysociety.org/operators/3828"
3514,"Harry O Transport","Harry O Transport",,,,,,,1,"http://transport.mysociety.org/operators/3514"
3859,"HARTING MINIBUS","HARTING MINIBUS",,,,,,,5,"http://transport.mysociety.org/operators/3859"
2915,"Harting Minibus","Harting Minibus",,,,,,,1,"http://transport.mysociety.org/operators/2915"
2776,"Hawkes Coaches","Hawkes Coaches",,,,,,,11,"http://transport.mysociety.org/operators/2776"
3779,"HAYLING FERRY LTD","HAYLING FERRY LTD",,,,,,,1,"http://transport.mysociety.org/operators/3779"
3249,"HAYTONS COACHES","Hayton's Coaches",,,,,,,8,"http://transport.mysociety.org/operators/3249"
3089,"Hearson Coaches","Hearson Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3089"
2428,"Heartlands Bus","Heartlands Travel Ltd",,,,,,,1,"http://transport.mysociety.org/operators/2428"
3901,"Heathrow Express","Heathrow Express",,,3145133,"The Compass Centre, Nelson Road, Hounslow, Middlesex,TW6 2GW","No email ( http://www.heathrowexpress.com/Feedback ) or 0845 600 1515","http://www.heathrowexpress.com",1,"http://transport.mysociety.org/operators/3901"
3508,"Hebridean Coaches","Hebridean Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3508"
3035,"Hebridean Minibus Servic","Hebridean Minibus Servic",,,,,,,1,"http://transport.mysociety.org/operators/3035"
3569,"Hebridean Transport","Hebridean Transport",,,,,,,4,"http://transport.mysociety.org/operators/3569"
3023,"Hector MacNeil","Hector MacNeil",,,,,,,1,"http://transport.mysociety.org/operators/3023"
1989,"Hedgehog Community Bus","Hedgehog Community Bus",,,,,,,71,"http://transport.mysociety.org/operators/1989"
3833,"HEDGEHOG COMMUNITY BUS","HEDGEHOG COMMUNITY BUS",,,,,,,3,"http://transport.mysociety.org/operators/3833"
2921,"Hedingham Omnibuses","Hedingham Omnibuses","services@hedingham.co.uk",,,,,,52,"http://transport.mysociety.org/operators/2921"
1787,"Helms Of Eastham","Helms Of Eastham","helmscoaches@btconnect.com",,,,,,8,"http://transport.mysociety.org/operators/1787"
3538,"Helms of Eastham","Helms of Eastham",,,,,,,3,"http://transport.mysociety.org/operators/3538"
2577,"Henleys","Henleys",,,,,,,3,"http://transport.mysociety.org/operators/2577"
1995,"Henry Cooper Coaches","Henry Cooper Coaches",,,,,,,4,"http://transport.mysociety.org/operators/1995"
2925,"Herberts Travel","Herberts Travel",,,,,,,2,"http://transport.mysociety.org/operators/2925"
2197,"Heritage Travel","Heritage Travel",,,,,,,5,"http://transport.mysociety.org/operators/2197"
3876,"HERRINGTON COACHES","HERRINGTON COACHES","herringtoncoaches@live.co.uk",,4687619,"Manor Farm Sandleheath Road Alderholt SP6 3EG",,,2,"http://transport.mysociety.org/operators/3876"
2929,"Heyfordian Travel","Heyfordian Travel",,,1187887,,,"http://www.heyfordian.travel",20,"http://transport.mysociety.org/operators/2929"
2221,"Hi-Ride","HI-RIDE COACHES",,,,,,,1,"http://transport.mysociety.org/operators/2221"
3716,"Highland Council","Highland Council",,,,,,,1,"http://transport.mysociety.org/operators/3716"
2223,"Historic Scotland","Historic Scotland",,,,,,,1,"http://transport.mysociety.org/operators/2223"
3858,"Hodgsons","Hodgsons",,,,,,,5,"http://transport.mysociety.org/operators/3858"
1974,"Hodgsons Private Hire","Hodgsons Private Hire",,,,,,,3,"http://transport.mysociety.org/operators/1974"
2292,"Hodson Coaches","Hodson Coaches",,,,,,,3,"http://transport.mysociety.org/operators/2292"
2057,"Hodsons Coaches","Hodsons Of Gisburn",,,,,,,11,"http://transport.mysociety.org/operators/2057"
2285,"Hollands Coaches","Hollands Coaches",,,,,,,3,"http://transport.mysociety.org/operators/2285"
2974,"Hollinshead Coaches Ltd","Hollinshead Coaches Ltd",,,,,,,1,"http://transport.mysociety.org/operators/2974"
2831,"Hollywood Travel","Hollywood Travel",,,,,,,1,"http://transport.mysociety.org/operators/2831"
2416,"Holmeswood Coaches Ltd","Holmeswood Coaches Ltd",,,,,,,21,"http://transport.mysociety.org/operators/2416"
3895,"HOLSWORTHY LTD","HOLSWORTHY LTD",,,4063411,,,,17,"http://transport.mysociety.org/operators/3895"
2205,"Holy Island Minibus","Holy Island Minibus",,,,,,,1,"http://transport.mysociety.org/operators/2205"
3603,"Horrocks","Horrocks",,,,,,,1,"http://transport.mysociety.org/operators/3603"
2547,"Horseman Coaches","Horseman Coaches",,,,,,,2,"http://transport.mysociety.org/operators/2547"
2691,"Houston's Minicoaches","Houston's Minicoaches",,,,,,,12,"http://transport.mysociety.org/operators/2691"
2582,"Hovertravel","Hovertravel",,,,,,,1,"http://transport.mysociety.org/operators/2582"
3840,"HOVERTRAVEL LTD","HOVERTRAVEL LTD",,,,,,,1,"http://transport.mysociety.org/operators/3840"
2235,"Hugh Sinclair + Co","Hugh Sinclair + Co",,,,,,,1,"http://transport.mysociety.org/operators/2235"
3885,"Hull Trains","Hull Trains","customer.services@hulltrains.co.uk",,,,,,1,"http://transport.mysociety.org/operators/3885"
2503,"Hunters","Hunters",,,,,,,4,"http://transport.mysociety.org/operators/2503"
3590,"Hunters Executive Coache","Hunters Executive Coache",,,,,,,4,"http://transport.mysociety.org/operators/3590"
2716,"Hunts Coaches","Hunts Coaches",,,,,,,17,"http://transport.mysociety.org/operators/2716"
2681,"Hurst & Hassocks Community Bus","Hurst & Hassocks Communi",,,,,,,4,"http://transport.mysociety.org/operators/2681"
3383,"HUYTON TRAVEL LTD","Huyton Travel","info@huytontravel.co.uk",,1978539,,,,23,"http://transport.mysociety.org/operators/3383"
3388,"HUYTON TRAVEL LTD","Huyton Travel",,,,,,,5,"http://transport.mysociety.org/operators/3388"
2943,"HUYTON TRAVEL LTD","Huyton Travel",,,,,,,3,"http://transport.mysociety.org/operators/2943"
3906,"HY","HY",,,,,,,2,"http://transport.mysociety.org/operators/3906"
2135,"I & S Coaches, Hereford","I & S Coaches, Hereford",,,,,,,2,"http://transport.mysociety.org/operators/2135"
2196,"I F Anderson Coaches","I F Anderson Coaches",,,,,,,2,"http://transport.mysociety.org/operators/2196"
1985,"Iain MacDonald","Iain MacDonald",,,,,,,1,"http://transport.mysociety.org/operators/1985"
2462,"Ian Grimshaw Coaches Ltd","Ian Grimshaw Coaches Ltd",,,,,,,3,"http://transport.mysociety.org/operators/2462"
1853,"Ian's Travel Services","Ian's Travel Services",,,,,,,1,"http://transport.mysociety.org/operators/1853"
3862,"IBT","IBT",,,,,,,12,"http://transport.mysociety.org/operators/3862"
3493,"IF","IF",,,,,,,6,"http://transport.mysociety.org/operators/3493"
2560,"Imperial Bus Company","Imperial Bus Company",,,,,,,7,"http://transport.mysociety.org/operators/2560"
3480,"INDEPENDENT COACH COMPAN","INDEPENDENT COACH COMPAN",,,,,,,3,"http://transport.mysociety.org/operators/3480"
3475,"Ipswich Buses","Ipswich Buses","info@ipswichbuses.co.uk",,2000058,"7 CONSTANTINE ROAD
IPSWICH
SUFFOLK
IP1 2DL
",,,45,"http://transport.mysociety.org/operators/3475"
3198,"Irvings Coach Hire Ltd","Irvings Coach Hire Ltd",,,,,,,1,"http://transport.mysociety.org/operators/3198"
3517,"Island Line","Island Line",,,,,,,1,"http://transport.mysociety.org/operators/3517"
3326,"Isle of Wight Council (Cowes Ferry)","Isle of Wight Council (C",,,,,,,1,"http://transport.mysociety.org/operators/3326"
3553,"ISLE VALLEY TRANSPORT","ISLE VALLEY TRANSPORT",,,,,,,2,"http://transport.mysociety.org/operators/3553"
3490,"ISLES OF SCILLY STEAMSHI","ISLES OF SCILLY STEAMSHI",,,,,,,1,"http://transport.mysociety.org/operators/3490"
2576,"J & L Travel","J & L Travel",,,,,,,1,"http://transport.mysociety.org/operators/2576"
1940,"J & S Travel","J & S Travel",,,,,,,17,"http://transport.mysociety.org/operators/1940"
2269,"J A Evans","J A Evans",,,,,,,2,"http://transport.mysociety.org/operators/2269"
2880,"J Durbin","SOUTH GLOUCESTERSHIRE BU","sgbc@btconnect.com",,,,,,31,"http://transport.mysociety.org/operators/2880"
3890,"J K Murgatroyd","J K Murgatroyd",,,,,,,1,"http://transport.mysociety.org/operators/3890"
3570,"J P Travel","J P Travel",,,,,,,3,"http://transport.mysociety.org/operators/3570"
3112,"J Robinson Taxis","Robinsons Coaches",,,,,,,2,"http://transport.mysociety.org/operators/3112"
2185,"J.P. Minicoaches","J.P. Minicoaches","jpminicoaches@btconnect.com",,,,,,26,"http://transport.mysociety.org/operators/2185"
2107,"J.R.T","J.R.T",,,,,,,2,"http://transport.mysociety.org/operators/2107"
2909,"JA+GD Nicolson","JA+GD Nicolson",,,,,,,1,"http://transport.mysociety.org/operators/2909"
3125,"JACKIES COACHES","JACKIES COACHES",,,,,,,4,"http://transport.mysociety.org/operators/3125"
2413,"Jackson's Coaches","Jackson's Coaches",,,,,,,3,"http://transport.mysociety.org/operators/2413"
3180,"Jacksons of Silsden","Jacksons of Silsden",,,,,,,6,"http://transport.mysociety.org/operators/3180"
3147,"Jacs Mini Coach Travel","Jacs Mini Coach Travel",,,,,,,3,"http://transport.mysociety.org/operators/3147"
3129,"JAMES BEVAN","JAMES BEVAN",,,,,,,10,"http://transport.mysociety.org/operators/3129"
2249,"James Cooper + Son","James Cooper + Son",,,,,,,4,"http://transport.mysociety.org/operators/2249"
3044,"Jamie's Transport Servic","Jamie's Transport Servic",,,,,,,1,"http://transport.mysociety.org/operators/3044"
2131,"Jarvis Coaches","Jarvis Coaches",,,,,,,7,"http://transport.mysociety.org/operators/2131"
2225,"Jason Tours","Jason Tours",,,,,,,4,"http://transport.mysociety.org/operators/2225"
2988,"Jayline Travel","Jayline Travel",,,,,,,3,"http://transport.mysociety.org/operators/2988"
2605,"JB Pickhall","JB Pickhall",,,,,,,1,"http://transport.mysociety.org/operators/2605"
3143,"JEFFS","JEFFS",,,,,,,1,"http://transport.mysociety.org/operators/3143"
2234,"Jeffs Coaches","Jeffs Coaches",,,,,,,5,"http://transport.mysociety.org/operators/2234"
3633,"Jeffs Coaches","Jeffs Coaches",,,,,,,2,"http://transport.mysociety.org/operators/3633"
2588,"JIM STONES COACHES","Jim Stones Coaches",,,,,,,19,"http://transport.mysociety.org/operators/2588"
3419,"John Ferguson","John Ferguson",,,,,,,1,"http://transport.mysociety.org/operators/3419"
3453,"John Fishwick & Sons","John Fishwick & Sons",,,,,,,9,"http://transport.mysociety.org/operators/3453"
2280,"John Hoban","John Hoban",,,,,,,4,"http://transport.mysociety.org/operators/2280"
2544,"John Kennedy","John Kennedy",,,,,,,1,"http://transport.mysociety.org/operators/2544"
3577,"John Leask and Son","John Leask and Son","info@leaskstravel.co.uk",,"01595 693 162","Esplanade Lerwick Shetland ZE1 OLL",,,11,"http://transport.mysociety.org/operators/3577"
3183,"JOHN PIKE COACHES","JOHN PIKE COACHES",,,,,,,2,"http://transport.mysociety.org/operators/3183"
2108,"John's Travel (WR)","John's Travel (WR)",,,,,,,2,"http://transport.mysociety.org/operators/2108"
2619,"Johnson Brothers Tours L","Johnson Brothers Tours L",,,,,,,4,"http://transport.mysociety.org/operators/2619"
3138,"JOHNSONS COACH & BUS TRA","JOHNSONS COACH & BUS TRA",,,,,,,3,"http://transport.mysociety.org/operators/3138"
1858,"Johnsons Coach and Bus Travel","Johnsons Coach and Bus T",,,,,,,3,"http://transport.mysociety.org/operators/1858"
2852,"Jones Brothers Coaches","Jones Brothers Coaches",,,,,,,4,"http://transport.mysociety.org/operators/2852"
1903,"Jones Login","Jones Login",,,,,,,3,"http://transport.mysociety.org/operators/1903"
3300,"JSB Travel","JSB Travel",,,,,,,10,"http://transport.mysociety.org/operators/3300"
3403,"JST International","JST International",,,,,,,2,"http://transport.mysociety.org/operators/3403"
2656,"Judd's Travel","Judd's Travel",,,,,,,1,"http://transport.mysociety.org/operators/2656"
3176,"Judge's Mini Coaches","Judge's Mini Coaches",,,,,,,7,"http://transport.mysociety.org/operators/3176"
2222,"JW Lodge & Sons","JW Lodge & Sons",,,,,,,2,"http://transport.mysociety.org/operators/2222"
3230,"K & M Taxis","K`Matt Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3230"
2580,"K Line","K Line",,,,,,,1,"http://transport.mysociety.org/operators/2580"
2750,"Kaj & A Hazlett","Town End Garage",,,,,,,3,"http://transport.mysociety.org/operators/2750"
2818,"KE","KE",,,,,,,2,"http://transport.mysociety.org/operators/2818"
3219,"Keighley and District Travel Ltd","Keighley And District Tr","enquire@keighleyanddistrict.co.uk",,,,"Part of Transdev","http://www.keighleybus.co.uk",1,"http://transport.mysociety.org/operators/3219"
2785,"Ken Miller","Ken Miller",,,,,,,1,"http://transport.mysociety.org/operators/2785"
2757,"Ken Routledge","Ken Routledge",,,,,,,1,"http://transport.mysociety.org/operators/2757"
3101,"Kenmore Coaches","Kenmore Coaches",,,,,,,9,"http://transport.mysociety.org/operators/3101"
2231,"Kenneth MacLennan","Kenneth MacLennan",,,,,,,2,"http://transport.mysociety.org/operators/2231"
3151,"Kent CC Passenger Service","Kent CC Passenger Servic",,,,,,,7,"http://transport.mysociety.org/operators/3151"
1884,"Kent Coach Tours","Kent Coach Tours",,,,,,,5,"http://transport.mysociety.org/operators/1884"
3856,"Kent Top Travel","Kent Top Travel","enquiries@kenttoptravel.co.uk",,,,,,23,"http://transport.mysociety.org/operators/3856"
2802,"Kerrera Ferry","Kerrera Ferry",,,,,,,1,"http://transport.mysociety.org/operators/2802"
2804,"Kestrel Coaches","Kestrel Coaches",,,,,,,1,"http://transport.mysociety.org/operators/2804"
2775,"Keswick Launch Company","Keswick Launch Company",,,,,,,1,"http://transport.mysociety.org/operators/2775"
2082,"KETTLEWELL COACHES","Kettlewell Coaches",,,,,,,3,"http://transport.mysociety.org/operators/2082"
2883,"Kettlewells","Kettlewells",,,,,,,5,"http://transport.mysociety.org/operators/2883"
2493,"Key Coaches","Key Coaches",,,,,,,4,"http://transport.mysociety.org/operators/2493"
2867,"KIMLAN COACHES","KIMLAN COACHES",,,,,,,3,"http://transport.mysociety.org/operators/2867"
2316,"Kimlan Coaches","Kimlan Coaches",,,,,,,1,"http://transport.mysociety.org/operators/2316"
2773,"KING HARRY FERRY CO","KING HARRY FERRY CO",,,,,,,1,"http://transport.mysociety.org/operators/2773"
2368,"King of Kirkcowan","King of Kirkcowan",,,,,,,10,"http://transport.mysociety.org/operators/2368"
3591,"King Travel","King Travel",,,,,,,3,"http://transport.mysociety.org/operators/3591"
2028,"Kingshouse Travel","Kingshouse Travel",,,,,,,3,"http://transport.mysociety.org/operators/2028"
1891,"Kingsman International","Kingsman International",,,,,,,2,"http://transport.mysociety.org/operators/1891"
3797,"Kirkby Lonsdale Coach Hire Ltd","Kirkby Lonsdale Coaches",,,4561162,,,,10,"http://transport.mysociety.org/operators/3797"
3191,"KJB","KJB",,,,,,,3,"http://transport.mysociety.org/operators/3191"
3801,"L L Travel","LL Travel",,,,,,,1,"http://transport.mysociety.org/operators/3801"
1915,"L.A.M.B.S","L.A.M.B.S",,,,,,,1,"http://transport.mysociety.org/operators/1915"
2784,"Lakeland Coaches","Lakeland Coaches",,,,,,,4,"http://transport.mysociety.org/operators/2784"
3119,"Lakeside Coaches","Lakeside Coaches",,,,,,,1,"http://transport.mysociety.org/operators/3119"
3787,"Lancashire United Ltd","Lancashire United Ltd",,,2546070,,,,59,"http://transport.mysociety.org/operators/3787"
2997,"Landmark  Coaches","Landmark  Coaches",,,,,,,2,"http://transport.mysociety.org/operators/2997"
2169,"Lane's Coaches","Lane's Coaches",,,,,,,2,"http://transport.mysociety.org/operators/2169"
3927,"Langston & Tasker","Langston & Tasker",,,,,,,12,"http://transport.mysociety.org/operators/3927"
3594,"Langston & Tasker","Langston & Tasker",,,,,,,3,"http://transport.mysociety.org/operators/3594"
3165,"Lavender Line Travel","Lavender Line Travel",,,,,,,5,"http://transport.mysociety.org/operators/3165"
2482,"LD","LD",,,,,,,5,"http://transport.mysociety.org/operators/2482"
3900,"Leander Travel","Leander Travel",,,,,,,2,"http://transport.mysociety.org/operators/3900"
3910,"Lecks Travel","Lecks Travel",,,,,,,3,"http://transport.mysociety.org/operators/3910"
3931,"Lehane","Lehane",,,,,,,3,"http://transport.mysociety.org/operators/3931"
2515,"Leven Valley Coaches","Leven Valley Coaches",,,,,,,16,"http://transport.mysociety.org/operators/2515"
1801,"Lewis Coaches","Lewis Coaches",,,,,,,2,"http://transport.mysociety.org/operators/1801"
2968,"Lewis Coaches of Whitlan","Lewis Coaches of Whitlan",,,,,,,1,"http://transport.mysociety.org/operators/2968"
2942,"Lewis Y Llan","Lewis Y Llan",,,,,,,9,"http://transport.mysociety.org/operators/2942"
1889,"Lewis's Coaches (Llanrhy","Lewis's Coaches (Llanrhy",,,,,,,6,"http://transport.mysociety.org/operators/1889"
2545,"LIBRA TRAVEL","LIBRA TRAVEL",,,,,,,4,"http://transport.mysociety.org/operators/2545"
2570,"Liddell Coaches","Liddell Coaches",,,,,,,4,"http://transport.mysociety.org/operators/2570"
3038,"Linburg Bus and Coach","Linburg Bus and Coach",,,,,,,1,"http://transport.mysociety.org/operators/3038"
2494,"Lindsay Coaches","Lindsay Coaches",,,,,,,2,"http://transport.mysociety.org/operators/2494"
2446,"Link Line Travel (Southport) Ltd","Link Line Travel",,,,,,,3,"http://transport.mysociety.org/operators/2446"
2533,"Linkrider Taxis","LINKRIDER",,,,,,,3,"http://transport.mysociety.org/operators/2533"
2618,"Lippen Coaches","Lippen Coaches",,,,,,,7,"http://transport.mysociety.org/operators/2618"
3937,"Litchfield Cars","Litchfield Cars",,,,,,,4,"http://transport.mysociety.org/operators/3937"
2707,"Little Jim's","Little Jim's",,,,,,,1,"http://transport.mysociety.org/operators/2707"
1907,"Little Red Bus","Little Red Bus",,,,,,,1,"http://transport.mysociety.org/operators/1907"
3213,"Littles Travel","Littles Travel",,,,,,,5,"http://transport.mysociety.org/operators/3213"
2723,"Llew Jones Coaches","Llew Jones Coaches",,,,,,,7,"http://transport.mysociety.org/operators/2723"
3734,"Lloyd's Taxis","Lloyd's Taxis",,,,,,,4,"http://transport.mysociety.org/operators/3734"
3080,"Lloyds Coaches","Lloyds Coaches",,,,,,,12,"http://transport.mysociety.org/operators/3080"
3460,"LMS Travel","LMS Travel",,,,,,,9,"http://transport.mysociety.org/operators/3460"
2779,"LMW","LMW",,,,,,,3,"http://transport.mysociety.org/operators/2779"
3714,"Loch Lomond Bus Services","Loch Lomond Bus Services",,,,,,,7,"http://transport.mysociety.org/operators/3714"
2452,"Lochcarron Garage","Lochcarron Garage",,,,,,,2,"http://transport.mysociety.org/operators/2452"
3466,"Lochs Motor Transport","Lochs Motor Transport",,,,,,,1,"http://transport.mysociety.org/operators/3466"
2476,"London Central","LCN","customerservices@tfl-buses.co.uk",,,,,"http://www.go-ahead-london.com/about-us/contact-information.html",39,"http://transport.mysociety.org/operators/2476"
3946,"London General","London General",,,,,,,5,"http://transport.mysociety.org/operators/3946"
2511,"London Midland","London Midland","comments@londonmidland.com",,,,,,14,"http://transport.mysociety.org/operators/2511"
2520,"London Overground","London Overground",,,,,,,6,"http://transport.mysociety.org/operators/2520"
3934,"London River Services","LRS",,,,,,,9,"http://transport.mysociety.org/operators/3934"
2907,"London Underground","London Underground",,,1900907,,,,10,"http://transport.mysociety.org/operators/2907"
3583,"London United","London United",,,,,,,3,"http://transport.mysociety.org/operators/3583"
3392,"Longmynd Travel","Longmynd Travel",,,,,,,1,"http://transport.mysociety.org/operators/3392"
3444,"Longridge Coaches","Longridge Coaches",,,,,,,7,"http://transport.mysociety.org/operators/3444"
2977,"Longstaff","Longstaff",,,,,,,1,"http://transport.mysociety.org/operators/2977"
3537,"Longstaff's Garage","Longstaff's Garage",,,,,,,1,"http://transport.mysociety.org/operators/3537"
3789,"Lords Coaches","Lords Coaches",,,,,,,2,"http://transport.mysociety.org/operators/3789"
2710,"Lothian Buses","Lothian Buses","mail@lothianbuses.com",,"SC96849","Annandale Street, Edinburgh, EH7 4AZ","Majority owned by Edinburgh City Council",,62,"http://transport.mysociety.org/operators/2710"
2499,"Lothian Community Transp","Lothian Community Transp",,,,,,,7,"http://transport.mysociety.org/operators/2499"
2474,"Low Fell Bus Company","Low Fell Bus Company",,,,,,,3,"http://transport.mysociety.org/operators/2474"
2516,"Lower Nidd Community Bus","Lower Nidd Community Bus",,,,,,,2,"http://transport.mysociety.org/operators/2516"
3001,"Lucketts","Lucketts",,,,,,,2,"http://transport.mysociety.org/operators/3001"
2872,"Ludlows Coaches","Diamond",,,,,,,10,"http://transport.mysociety.org/operators/2872"
3766,"Lugg Valley Primrose","Lugg Valley Primrose",,,,,,,2,"http://transport.mysociety.org/operators/3766"
